id;po_name;sequence_in_po;scanner_id;previous_production_batch_id;state;inspection_sequence;ordered_quantity;producing_quantity;total_producing_quantity;remaining_quantity;totalremaining_quantity;inspected_quantity;total_inspected_quantity;failed_quantity;total_failed_quantity;color_id;color_code;color_name;color_basematerial;color_lab_l;color_lab_a;color_lab_b;color_a;color_b;color_c;color_d;color_e;color_f;color_g;color_h;color_i;color_j;color_k;color_l;color_m;color_n;color_o;color_p;color_q;color_r;color_s;color_t;color_u;color_v;color_w;color_x;color_y;color_z;catalog_id;catalog_externalid;catalog_name;catalog_version;catalog_isactive;catalog_createdtime;base_material_id;ordered_time;started_time;modified_time;suspended_time;finished_time;original
42258833-1f08-4e15-aad0-73ec432b92d0;tan;17077;../fake-data/blob/hipster.txt;sit South Bicycle;Mouse deposit;11525;26140;16679;29377;14612;9879;21012;32513;17850;15226;scour attitude;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;747;4040;20899;9826;19734;2066;4727;25406;32555;20599;24630;17048;3175;11389;962;26521;21335;31707;23950;4499;24139;25681;21672;10224;9707;6164;19219;29826;10289;403;Towels Gorgeous;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-17T21:18:42;17512;2023-07-18T02:29:10;2023-07-17T19:49:52;2023-07-17T23:14:26;2023-07-18T00:08:15;2023-07-17T10:25:22;../fake-data/blob/hipster.txt
5ca3a954-8d9c-4c6d-9e15-ea0434c4f3fc;Account Beauty matrices;343;../fake-data/blob/hipster.txt;Pennsylvania implementation in;Shirt Buckingham;4907;28671;16396;5265;15366;3950;11341;15717;27419;1903;secondary Bentley secured;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1273;14850;4915;9634;8023;16805;29720;765;5249;16852;24755;2865;22868;29894;4257;25974;31930;19201;12987;2570;14914;8841;12553;22641;8780;8329;29653;24961;21472;15472;Folding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-17T10:48:08;25649;2023-07-17T15:12:04;2023-07-18T02:20:28;2023-07-18T08:37:01;2023-07-17T15:49:31;2023-07-17T21:41:40;../fake-data/blob/hipster.txt
a46a698a-a68b-4e6f-87d9-da24b36ee699;pink Northeast;12966;../fake-data/blob/hipster.txt;index newton innovate;Sports;26066;20824;306;16080;25203;18719;3067;11745;80;24719;Grocery ugh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11477;26328;11465;11352;1777;31221;2711;12515;26725;7443;28180;14390;18916;17202;15492;10513;22325;10393;29058;3986;5728;16551;15997;6384;12361;29575;6463;29209;15485;32676;wireless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T17:47:32;14553;2023-07-17T12:38:15;2023-07-18T00:01:00;2023-07-18T04:11:01;2023-07-17T23:59:04;2023-07-17T11:00:02;../fake-data/blob/hipster.txt
87d41b5a-6e9c-4a0e-b582-96cb2be239d5;Senior connect;1741;../fake-data/blob/hipster.txt;Northeast;Van generate odd;532;16609;23159;8231;19959;24664;12109;6006;28695;11896;Idaho Electric;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;14862;3062;23186;9439;26319;5336;32300;10004;21517;3707;5837;24874;16322;19446;19391;11072;21657;11181;13319;21846;30599;3146;31614;2829;8452;30959;26332;23095;3681;1730;lux International;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T13:15:41;5363;2023-07-17T16:30:39;2023-07-17T10:22:45;2023-07-17T21:25:12;2023-07-18T06:05:39;2023-07-17T11:23:09;../fake-data/blob/hipster.txt
c1190852-3c43-4c31-89d8-67d5f628fa8c;orange;11730;../fake-data/blob/hipster.txt;Screen Road East;male microchip w;17801;578;18165;5037;2972;23920;31779;19060;25568;1215;Chair;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8741;20317;9371;16692;17105;28646;3114;20756;19691;6491;13256;16300;32624;24566;3533;11326;29527;5504;12893;1860;32114;16059;4747;10851;25697;17375;23727;10597;375;10716;indexing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-18T02:31:13;6984;2023-07-17T19:34:08;2023-07-18T02:01:06;2023-07-18T03:58:44;2023-07-17T17:10:00;2023-07-17T23:19:04;../fake-data/blob/hipster.txt
7ea040a2-314e-440b-b5f2-c50650d36666;draw;32651;../fake-data/blob/hipster.txt;Electric;Wyoming;21222;3665;29370;8678;24695;6506;3480;13115;17834;29837;Uganda Division complexity;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4518;4243;28602;20716;7281;28384;22998;22887;57;9761;29713;16279;15367;13284;25195;18664;22340;20950;29757;23964;561;13829;11919;4861;2417;6981;2260;10421;11737;22345;Luxurious Marketing Country;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-18T03:23:46;29123;2023-07-17T13:58:24;2023-07-17T17:38:30;2023-07-17T23:39:20;2023-07-17T21:56:23;2023-07-18T01:18:55;../fake-data/blob/hipster.txt
a52c58e9-2b6c-4290-bc63-7bcb14460c46;Plastic sit Plastic;501;../fake-data/blob/hipster.txt;North;waste;27508;32403;18526;6229;8893;32212;22842;7680;27908;21200;Manager including;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13029;5007;11921;27469;1435;20049;10715;4477;28882;4953;30313;21645;17039;19574;13556;2670;15114;14665;9482;23358;17661;179;29390;9995;26332;14224;29488;1998;4355;25508;farad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T16:12:18;4352;2023-07-17T11:18:49;2023-07-17T16:45:57;2023-07-18T06:14:55;2023-07-17T15:20:07;2023-07-17T09:13:43;../fake-data/blob/hipster.txt
b2ab2313-ee8d-4021-8bb5-269ae51ee05a;Ferrari;20605;../fake-data/blob/hipster.txt;ivory Soul;kilogram overrid;8071;5221;25481;3134;16560;24669;16523;1372;29124;17747;set;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11322;29988;6643;23226;14072;611;21216;10548;27702;5662;3556;32662;24551;29961;24563;19662;4655;12595;31428;18811;26631;22756;24418;16344;27326;30437;25248;20457;30667;16593;orchestrate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-18T00:22:25;14028;2023-07-18T00:37:53;2023-07-17T13:22:24;2023-07-17T16:30:58;2023-07-18T06:43:01;2023-07-17T11:45:35;../fake-data/blob/hipster.txt
cb15a287-3be8-4490-86db-7dd117d0ec55;Hawaii Granite;258;../fake-data/blob/hipster.txt;Supervisor Product;navigating;8322;31556;25340;7275;19882;15876;13063;9594;8265;15982;Hybrid;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13678;27667;114;22616;5309;26798;6039;4428;10348;12566;7221;263;32444;10119;16763;9764;20783;4372;13746;9637;21410;7912;250;9955;4231;26638;5282;7662;8974;2672;but;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-18T01:08:02;13489;2023-07-18T02:20:14;2023-07-17T10:43:43;2023-07-17T09:47:30;2023-07-17T10:43:06;2023-07-17T17:10:45;../fake-data/blob/hipster.txt
14cbaab3-e53a-4bb5-9769-5d6eca88890a;navigating Thulium Account;2141;../fake-data/blob/hipster.txt;affiliate;Concrete;32004;11120;20773;5815;9788;10696;19964;17267;10680;2701;reboot system;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;31659;3725;2757;10361;30378;18758;22058;25097;12139;19826;16098;15486;28996;5689;10286;10841;18907;28203;21654;31593;19386;31041;1914;8113;16169;16225;25815;23852;376;2205;online trailpatrol;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-17T22:32:42;9907;2023-07-17T18:03:37;2023-07-17T17:41:12;2023-07-17T17:29:55;2023-07-17T13:34:21;2023-07-17T20:52:45;../fake-data/blob/hipster.txt
