id;code;name;base_material;lab_l;lab_a;lab_b;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z
4d1de720-c7b8-468a-b435-fc9a9c695ec8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7838;2178;31812;14590;26415;1302;28930;21416;12511;17765;11027;2829;29520;28015;15220;11487;24790;30090;31207;24554;12017;13564;27591;1590;2854;20348;5081;4144;18697;29450
226a87fb-497c-4a0c-86ec-4a9d916c9c7e;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7120;1033;16217;15833;30297;28720;29887;22746;15519;8894;4023;24046;6938;9367;1057;27701;19103;24266;10100;18990;3315;27208;2742;4955;20464;23958;13198;23942;22745;22051
29204c9c-ae63-4d6e-ad17-89f56096aeb8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;17563;19436;28676;9450;13630;30180;22738;12452;2347;30108;5925;1304;3323;29467;2276;8575;4552;5945;22367;29888;7849;27878;10002;19611;17187;19554;23675;29718;31056;4848
137c9ee3-c3ec-41af-b1e4-751ff7070c22;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7206;9232;14912;21933;24552;1005;18561;25286;14751;21138;9063;6223;18348;25477;2940;11652;8824;32023;13574;8786;2633;9424;225;24075;12432;31484;28177;5818;27450;24928
5adc13df-b2c8-46d0-8a07-981461918a95;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27905;4092;23358;17466;13499;9802;25166;24165;25958;19832;5321;24346;15184;31822;6057;4734;30703;2839;8711;28458;2902;31753;25448;13257;31993;7971;8950;9419;18122;30148
d2d778c8-4f85-4cb8-8e30-3f5bf612afd3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1017;18197;24557;32483;28152;13251;6118;6567;22358;1710;1366;14931;13540;17220;8255;5104;10194;16533;20170;7221;32637;5975;31287;30553;29092;14663;30447;15990;18497;5819
569aa54b-84d1-4518-933d-b6723a3a95bd;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10474;13801;19386;10318;22469;29207;7176;854;4794;28284;6853;8131;12281;20223;18447;12119;18246;3681;31656;16570;13715;16903;11351;28727;9924;30138;24362;19023;15052;17319
80819bb1-af9b-49cc-988d-33402b724556;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;30880;9210;4853;9545;923;16291;22330;29335;22859;30245;26740;15060;3337;21796;5826;10086;3761;27136;21877;13314;30547;22414;22913;4929;6938;31504;1193;22629;15678;28710
c46366b6-96fe-465f-8122-9a6780836699;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29962;30426;25598;19939;18086;13598;12636;1484;15488;6040;28161;6468;23167;10767;26334;20264;8879;49;21776;27199;10404;15208;13099;9965;1273;22634;8201;27739;24249;14724
90b00a88-5444-4b80-9a16-9fc999998106;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3708;11251;4933;16271;27884;17740;4770;219;28495;17180;25249;5116;791;16583;29234;20778;30218;2421;1098;21213;23619;21117;18112;3488;21985;10754;13162;17414;15004;20846
