id;scanner_id;sequence_in_batch;state;d_e;created_time;scanned_time;inspected_time;modified_time;ejected_time
fd81e85b-b96b-4a6c-8e6e-5987e01e76d6;../fake-data/blob/hipster.txt;26243;distinctio;28882;2023-07-17T14:11:14;2023-07-17T10:51:10;2023-07-17T11:36:05;2023-07-17T22:47:10;2023-07-17T19:21:34
ccd54009-f649-4900-8ca8-3814dd68d362;../fake-data/blob/hipster.txt;22002;Northwest Guatem;14544;2023-07-17T23:27:13;2023-07-18T04:25:13;2023-07-17T14:15:22;2023-07-17T17:52:12;2023-07-17T15:23:00
5ff47e61-f5c0-4c12-9a47-5479bb8e2991;../fake-data/blob/hipster.txt;2318;male;1345;2023-07-17T12:36:46;2023-07-17T22:48:07;2023-07-17T11:12:58;2023-07-17T10:07:21;2023-07-17T09:59:25
f286cdb2-c9a0-49ec-a07c-020599a676a0;../fake-data/blob/hipster.txt;1703;Corporate Northw;30568;2023-07-17T09:44:23;2023-07-18T02:37:59;2023-07-17T12:11:29;2023-07-18T02:36:31;2023-07-17T19:15:54
ede5e535-ff59-4fd2-a0df-a9e47fb64ccf;../fake-data/blob/hipster.txt;9192;flout;25789;2023-07-17T09:43:11;2023-07-17T17:13:31;2023-07-17T18:24:08;2023-07-17T17:18:58;2023-07-18T07:20:27
58e87c15-dfa0-4cc4-8c33-e691af2368b1;../fake-data/blob/hipster.txt;6055;watt;24602;2023-07-18T03:33:35;2023-07-17T10:34:12;2023-07-17T12:44:52;2023-07-18T08:38:22;2023-07-18T05:20:40
a02aa260-f6b8-403d-81d5-809ac8c76876;../fake-data/blob/hipster.txt;14331;Florida West ban;25421;2023-07-17T15:01:04;2023-07-18T02:24:25;2023-07-17T15:17:56;2023-07-17T14:38:28;2023-07-18T07:20:15
ee3033ff-8147-4bc9-b875-4269fde689cb;../fake-data/blob/hipster.txt;13136;Sausages;25557;2023-07-18T05:19:39;2023-07-17T09:06:11;2023-07-17T14:16:47;2023-07-18T04:09:04;2023-07-18T07:41:37
cdba6551-0041-42ca-b75a-3a3feefcf743;../fake-data/blob/hipster.txt;17684;outset Extended;21568;2023-07-18T02:50:59;2023-07-18T00:59:04;2023-07-17T09:34:10;2023-07-17T09:14:00;2023-07-18T04:33:18
2ade7f33-f426-4a6a-8149-ee6387467866;../fake-data/blob/hipster.txt;11050;white Cargo;13338;2023-07-17T12:01:10;2023-07-17T15:00:02;2023-07-18T04:32:47;2023-07-17T20:52:44;2023-07-18T04:24:54
